"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"2013.month.summer",1210,3420,3253,317,1184,496,569,617,0,0,0,0,0,0,1545.66,2314,4298
"2013.month.fall",164,2506,1811,162,3723,962,296,281,0,0,0,47,118,0,0,487,1868
"2013.month.winter",0,0,0,0,155,0,0,0,0,0,0,75,46,0,0,2039,5969
"2014.month.spring",824,2187,0,0,1883,1651,799.5,494.5,0,0,0,172,1747,0,0,615,2739
"2014.month.summer",665,1961,3337,0,1820,1080,493.5,422.5,0,0,0,0,419,0,3463.5,1756,4325
"2014.month.fall",104,4293,924,99,1833,1522,312.5,315.5,0,0,0,352,425,0,693.42,1285,3998
"2014.month.winter",0,0,0,0,98,0,0,0,0,0,0,78,65,0,0,1698,8050
"2015.month.spring",1219,839,2376,0,2053,1426,913.5,612.5,0,0,0,449,1328,0,0,361,1231
"2015.month.summer",1196,1384,1755,0,1444,1270,523.5,624.5,0,0,0,0,0,0,2261.51,1906,4062
"2015.month.fall",127,3243,840,32,638,922,379.5,409.5,0,0,0,206,163,0,149.38,0,0
